county	city	sizehse	totexp	taxbase	taxrate	Population	Income	hseval	Taxhse	Homper	Rentper	Comper	Indper	Utilper	Year
109	95	5.599999905	7062330	1592810	0.022160999	54771	4193	29.81010056	152.3650055	0.534386992	0.115427002	0.281985998	0.056024998	0.003164	1
109	95	5.599999905	7007260	1460960	0.0234656	54771	4193	30.06110001	163.201004	0.529074013	0.120972	0.283652008	0.054926001	0.003088	2
111	165	5.599999905	1373110	259866	0.028030001	12892	3394	24.33550072	119.9260025	0.660588026	0.094307996	0.141156003	0.029007999	0.067167997	1
111	165	5.599999905	1534680	244355	0.030099001	12892	3394	24.90130043	132.7180023	0.640649021	0.100441001	0.158205003	0.029208001	0.064101003	2
113	115	5.300000191	1379340	125165	0.019564601	9397	3455	17.18709946	76.01799774	0.636196971	0.107431002	0.164545998	0.090354003	0	1
113	115	5.300000191	1256450	120790	0.022366101	9397	3455	17.6291008	89.99700165	0.651526988	0.106234998	0.163472995	0.077303998	0	2
117	75	5.400000095	455031	79760	0.021994	4970	3119	14.79179955	75.29499817	0.66752702	0.097521998	0.190346003	0.020129999	0.011112	1
117	75	5.400000095	450000	71589	0.022417501	4970	3119	15.02530003	78.21700287	0.658578992	0.090617001	0.192662999	0.034255002	0.010707	2
119	65	5.599999905	918077	121469	0.044058401	8588	3085	14.73320007	148.1499939	0.678952992	0.083609998	0.189098001	0.019313	0.025861001	1
119	65	5.599999905	916935	111048	0.041684799	8588	3085	16.14970016	157.0529938	0.698760986	0.073298	0.185184002	0.017081	0.023816001	2
119	75	5.199999809	1195900	99964	0.034028199	7703	3088	19.26079941	152.9019928	0.739650011	0.089296997	0.143654004	0.020996001	0.001336	1
119	75	5.199999809	1193550	93266	0.038478199	7703	3088	20.72550011	188.9360046	0.714917004	0.109232001	0.166925997	0.000498	0.001194	2
131	30	5.599999905	1656280	219893	0.0340974	16601	3277	20.05669975	141.9940033	0.675099015	0.090150997	0.172461003	0.046314001	0.003453	1
131	30	5.599999905	1550810	212282	0.034076702	16601	3277	20.44910049	145.9349976	0.671081007	0.088517003	0.188297004	0.036805	0.003307	2
131	60	6	774711	112850	0.0250927	10877	3198	26.03720093	138.8099976	0.766292989	0.091496997	0.099196002	0.032566	0.001567	1
131	60	6	863710	112960	0.027200701	10877	3198	27.07049942	157.9049988	0.761421978	0.101155996	0.098352	0.029064	0.001013	2
137	95	5.300000191	810329	122280	0.046970598	5908	3276	13.65799999	120.1220016	0.844619989	0.051043	0.095453002	0.006471	0.001216	1
137	95	5.300000191	1006450	105919	0.053449102	5908	3276	13.29950047	133.5579987	0.85275197	0.044305999	0.094619997	0.006116	0.001108	2
137	235	5.300000191	2463050	239377	0.0415892	15608	3584	17.68000031	39.03900146	0.69867003	0.056214001	0.195005998	0.049355999	0	1
137	235	5.300000191	2441130	217226	0.041579999	15608	3584	17.70700073	166.2510071	0.697115004	0.057002999	0.198283002	0.046831001	0	2
137	440	5.300000191	1729300	292743	0.037840299	12116	3776	19.6875	160.7019958	0.647821009	0.101438999	0.076369002	0.168193996	0.005222	1
137	440	5.300000191	1779030	245419	0.0427511	12116	3776	20.22629929	188.1719971	0.624127984	0.080944002	0.249282002	0.039985999	0.004835	2
139	85	5.400000095	764915	190971	0.0070409	8421	3329	24.73259926	41.89699936	0.513890028	0.079395004	0.142112002	0.182888001	0.006678	1
139	85	5.400000095	1034680	201306	0.0088935	8421	3329	26.87199974	58.88100052	0.492817014	0.086489998	0.130845994	0.215906993	0.009699	2
145	230	5.400000095	4866430	743954	0.029121701	41510	3041	21.28680038	154.5639954	0.576994002	0.121818997	0.183607996	0.103987999	0.004129	1
145	230	5.400000095	5566940	705919	0.029759901	41510	3041	21.41620064	159.4680023	0.563308001	0.12647	0.169524997	0.121956997	0.008987	2
147	70	5.699999809	1320570	316839	0.0234957	16014	3676	35.97600174	146.973999	0.740168989	0.093369	0.112136997	0.044052999	0.000179	1
147	70	5.699999809	1542740	305298	0.0214756	16014	3676	35.7358017	133.8800049	0.740426004	0.091044001	0.115668997	0.043939002	0.000982	2
149	70	5.400000095	511131	71238	0.04025	5533	2739	17.16530037	157.9490051	0.601979971	0.094967999	0.250084996	0.032641999	0.012086	1
149	70	5.400000095	497581	66371	0.039489701	5533	2739	17.47060013	157.7819977	0.60046798	0.090001002	0.275611013	0.005497	0.015884999	2
161	70	5.800000191	560997	128317	0.034906302	6949	3687	20.07500076	175.2660065	0.688367009	0.071566999	0.117691003	0.115278997	0.001472	1
161	70	5.800000191	673387	122097	0.035006601	6949	3687	21.58399963	399.6040039	0.678866982	0.076953001	0.114464	0.122698002	0.001766	2
163	30	5.5	1337490	305316	0.015778599	15840	3283	28.03210068	115.913002	0.729846001	0.036347002	0.039409999	0.123740003	0.009401	1
163	30	5.5	1087900	308984	0.0194446	15840	3283	28.81909943	148.0529938	0.732107997	0.034651998	0.057206001	0.115469001	0.008361	2
163	136	5.099999905	870882	148308	0.0184329	9359	3100	24.61190033	114.4710007	0.732231021	0.176864997	0.032556999	0.002704	0.002019	1
163	136	5.099999905	815323	149145	0.0224938	9359	3100	25.38750076	145.6210022	0.744391024	0.179672003	0.028049	0.002374	0.001812	2
163	170	6.099999905	1253780	177409	0.0289615	11844	3945	23.97730064	162.5119934	0.78718102	0.103826001	0.088567004	0.00243	0.002214	1
163	170	6.099999905	1300000	172298	0.029768299	11844	3945	25.22839928	177.9420013	0.794300973	0.108681001	0.076233998	0.003912	0.001982	2
163	191	6.199999809	695459	183517	0.0147023	8067	3712	33.87900162	129.5050049	0.641865015	0.092454001	0.094824001	0.038162	9.2E-05	1
163	191	6.199999809	915323	183040	0.0190774	8067	3712	33.43569946	166.7310028	0.654286027	0.074054003	0.096345	0.060123	8.2E-05	2
169	145	5.400000095	2713270	472137	0.023122899	26893	3197	18.85499954	105.5449982	0.608269989	0.099890999	0.170704007	0.108144	0.006672	1
169	145	5.400000095	2825000	432613	0.0297144	26893	3197	19.00709915	136.973999	0.605064988	0.097967997	0.168555006	0.115649998	0.00653	2
