Customer	Method of Payment	Day of Purchase	Preference for Color of Roses	Cost of Flowers	Customer Age	Dissatisfied with Delivery	
96	Master Card	Wednesday	6	46.65	61	2	
97	Other 	Thursday	6	75.15	50	2	
98	Master Card	Thursday	6	55.65	50	2	
99	American Express	Friday	2	75.75	63	2	
100	Visa	Friday	2	45.49	60	2	
101	Visa	Saturday	2	45.49	40	2	
102	Visa	Saturday	2	55.55	49	2	
103	Master Card	Saturday	2	40.25	39	2	
104	Master Card	Monday	2	56.25	33	2	
105	American Express	Monday	1	65.25	58	2	
106	Visa	Tuesday	1	44.65	53	2	
107	Visa	Tuesday	1	53.75	37	2	
108	Visa	Thursday	1	60.15	37	2	
109	Other 	Wednesday	1	25.53	39	2	
110	Other 	Wednesday	1	25.55	40	2	
111	Other 	Friday	1	54.85	43	2	
112	American Express	Friday	1	55.85	46	2	
113	Visa	Friday	1	45.35	76	2	
114	American Express	Saturday	1	45.75	50	2	
115	American Express	Saturday	1	50.55	33	2	
116	Cash	Saturday	3	55.55	30	2	
117	Cash	Saturday	3	35.95	40	2	
118	Cash	Saturday	3	25.75	50	2	
119	Master Card	Saturday	3	25.85	51	2	
120	Visa	Saturday	3	45.45	53	2	
121	Visa	Saturday	4	65.98	55	2	
122	Visa	Monday	4	65.65	48	2	
123	Other 	Monday	5	50.45	43	2	
124	Master Card	Wednesday	5	45.73	27	2	
125	American Express	Wednesday	6	55.55	28	2	
							
					 		
