observtn	milpgal	cylinder	displace	horspwr	accel	year	weight	country	price	company
116	28.10000038	4	141	80	20.39999962	91	3230	2	33000	4
117		4	121	110	15.39999962	91	2800	2	31900	4
118	30.70000076	6	145	76	19.60000038	91	3160	2	33200	4
119	25.39999962	6	168	116	12.60000038	91	2900	3	36900	4
120	24.20000076	6	146	120	13.80000019	91	2930	3	32500	4
121	22.39999962	6	231	110	15.80000019	91	3415	1	25700	1
122	26.60000038	8	350	105	19	91	3725	1	26500	1
123	20.20000076	6	200	88	17.10000038	91	3060	1	20800	2
124	17.60000038	6	225	85	16.60000038	91	3465	1	21500	3
125	28	4	112	88	19.60000038	92	2605	1	20100	1
126	27	4	112	88	18.60000038	92	2640	1	21000	1
127	34	4	112	88	18	92	2395	1	19700	1
128	31	4	112	85	16.20000076	92	2575	1	21600	1
129	29	4	135	84	16	92	2525	1	24000	3
130	27	4	151	90	18	92	2735	1	21600	1
131	24	4	140	92	16.39999962	92	2865	1	19900	2
132	23	4	151		20.5	92	3035	1	19600	3
133	36	4	105	74	15.30000019	92	1980	2	19800	4
134	37	4	91	68	18.20000076	92	2025	3	18600	4
135	31	4	91	68	17.60000038	92	1970	3	19400	4
136	38	4	105	63	14.69999981	92	2125	1	16400	3
137	36	4	98	70	17.29999924	92	2125	1	17200	2
138	36	4	120	88	14.5	92	2160	3	24400	4
139	36	4	107	75	14.5	92	2205	3	25000	4
140	34	4	108	70	16.89999962	92	2245	3	20700	4
141	38	4	91	67	15	92	1965	3	17500	4
142	32	4	91	67	15.69999981	92	1965	3	18500	4
143	38	4	91	67	16.20000076	92	1995	3	19300	4
144	25	6	181	110	16.39999962	92	2945	1	28200	1
145	38	6	262	85	17	92	3015	1	28800	1
146	26	4	156	92	14.5	92	2585	1	23000	3
147	22	6	232	112	14.69999981	92	2835	1	23400	2
148	32	4	144	96	13.89999962	92	2665	3	29800	4
149	36	4	135	84	13	92	2370	1	20900	3
150	27	4	151	90	17.29999924	92	2950	1	32600	1
151	27	4	140	86	15.60000038	92	2790	1	22900	2
152	44	4	97	52	24.60000038	92	2130	2	19300	4
153	32	4	135	84	11.60000038	92	2295	1	21600	3
154	28	4	120	79	18.60000038	92	2625	1	18700	2
155	31	4	119	82	19.39999962	92	2720	1	23200	1
